path,mode,query #,timeRange,results size,IO Count,Time (sec),Memory (Gb)
/opt/more-workspace/BEBEZE/bbz1.csv,,0,04/02/2018 13:58:10 - 10/02/2018 11:37:18,27196,0,0.008790041,2232616
/opt/more-workspace/BEBEZE/bbz1.csv,,1,06/02/2018 01:21:13 - 09/02/2018 00:12:19,13606,0,0.002490125,2232616
/opt/more-workspace/BEBEZE/bbz1.csv,,2,04/02/2018 13:55:40 - 10/02/2018 11:37:52,27206,0,2.520996458,4464440
/opt/more-workspace/BEBEZE/bbz1.csv,,3,24/01/2018 06:26:29 - 30/01/2018 04:08:41,27208,0,2.493265917,6696424
/opt/more-workspace/BEBEZE/bbz1.csv,,4,25/01/2018 17:51:09 - 28/01/2018 16:42:15,13604,0,0.003573,6696424
/opt/more-workspace/BEBEZE/bbz1.csv,,5,26/01/2018 11:32:50 - 27/01/2018 23:00:34,6810,0,0.00145425,6696424
/opt/more-workspace/BEBEZE/bbz1.csv,,6,24/01/2018 23:51:39 - 26/01/2018 11:19:23,6808,0,0.001327625,6696424
/opt/more-workspace/BEBEZE/bbz1.csv,,7,25/01/2018 08:45:01 - 26/01/2018 02:26:42,3400,0,7.13667E-4,6696424
/opt/more-workspace/BEBEZE/bbz1.csv,,8,27/01/2018 13:01:57 - 28/01/2018 06:43:38,3400,0,7.48666E-4,6696424
/opt/more-workspace/BEBEZE/bbz1.csv,,9,27/01/2018 17:28:31 - 28/01/2018 02:17:11,1694,0,4.48E-4,6696424
/opt/more-workspace/BEBEZE/bbz1.csv,,10,27/01/2018 13:04:12 - 28/01/2018 06:41:30,3386,0,6.91084E-4,6696424
/opt/more-workspace/BEBEZE/bbz1.csv,,11,28/01/2018 03:44:00 - 28/01/2018 21:21:19,3386,0,6.97042E-4,6696424
/opt/more-workspace/BEBEZE/bbz1.csv,,12,28/01/2018 10:42:04 - 29/01/2018 04:19:23,3384,0,6.64584E-4,6696424
/opt/more-workspace/BEBEZE/bbz1.csv,,13,28/01/2018 18:36:06 - 29/01/2018 12:13:25,3384,0,6.63083E-4,6696424
/opt/more-workspace/BEBEZE/bbz1.csv,,14,28/01/2018 23:00:11 - 29/01/2018 07:48:50,1694,0,3.98666E-4,6696424
/opt/more-workspace/BEBEZE/bbz1.csv,,15,28/01/2018 18:35:51 - 29/01/2018 12:13:10,3386,0,6.47625E-4,6696424
/opt/more-workspace/BEBEZE/bbz1.csv,,16,28/01/2018 09:47:12 - 29/01/2018 21:01:49,6770,0,0.00115475,6696424
/opt/more-workspace/BEBEZE/bbz1.csv,,17,27/01/2018 16:09:53 - 30/01/2018 14:39:08,27068,0,1.31228225,8916928
/opt/more-workspace/BEBEZE/bbz1.csv,,18,22/01/2018 03:42:19 - 25/01/2018 02:11:34,27066,0,1.279828292,11137104
/opt/more-workspace/BEBEZE/bbz1.csv,,19,20/01/2018 16:27:55 - 26/01/2018 13:26:26,27068,0,2.449470584,13357448
/opt/more-workspace/BEBEZE/bbz1.csv,,20,03/02/2018 09:06:11 - 09/02/2018 06:04:42,27066,0,2.492024667,15577792
/opt/more-workspace/BEBEZE/bbz1.csv,,21,16/01/2018 22:05:16 - 22/01/2018 19:03:47,27066,0,2.425806833,17798136
/opt/more-workspace/BEBEZE/bbz1.csv,,22,08/01/2018 07:18:06 - 14/01/2018 04:16:37,27066,0,2.395954666,20018312
/opt/more-workspace/BEBEZE/bbz1.csv,,23,21/01/2018 11:15:51 - 27/01/2018 08:14:21,27066,0,2.450351667,22238656
/opt/more-workspace/BEBEZE/bbz1.csv,,24,08/01/2018 12:49:09 - 14/01/2018 09:47:39,27066,0,2.416454583,24459000
/opt/more-workspace/BEBEZE/bbz1.csv,,25,22/01/2018 22:43:57 - 28/01/2018 19:42:28,27068,0,2.528909917,26679344
/opt/more-workspace/BEBEZE/bbz1.csv,,26,24/01/2018 09:57:30 - 27/01/2018 08:26:45,13536,0,0.002293542,26679344
/opt/more-workspace/BEBEZE/bbz1.csv,,27,19/01/2018 18:14:51 - 22/01/2018 16:44:06,13536,0,0.00254475,26679344
/opt/more-workspace/BEBEZE/bbz1.csv,,28,27/01/2018 16:29:39 - 30/01/2018 14:58:55,27066,0,1.329185042,28899520
/opt/more-workspace/BEBEZE/bbz1.csv,,29,28/01/2018 10:06:51 - 29/01/2018 21:21:29,13536,0,0.002258167,28899520
/opt/more-workspace/BEBEZE/bbz1.csv,,30,28/01/2018 19:13:11 - 30/01/2018 06:27:49,13536,0,0.002224833,28899520
/opt/more-workspace/BEBEZE/bbz1.csv,,31,28/01/2018 01:35:40 - 31/01/2018 00:04:56,27066,0,1.330937625,31119696
/opt/more-workspace/BEBEZE/bbz1.csv,,32,28/01/2018 19:12:59 - 30/01/2018 06:27:37,13534,0,0.002364083,31119696
/opt/more-workspace/BEBEZE/bbz1.csv,,33,25/01/2018 15:30:53 - 27/01/2018 02:45:31,6768,0,0.001713542,31119696
/opt/more-workspace/BEBEZE/bbz1.csv,,34,25/01/2018 00:04:12 - 26/01/2018 11:18:49,6768,0,0.001459292,31119696
/opt/more-workspace/BEBEZE/bbz1.csv,,35,25/01/2018 08:53:45 - 26/01/2018 02:31:04,3386,0,8.31208E-4,31119696
/opt/more-workspace/BEBEZE/bbz1.csv,,36,25/01/2018 08:29:00 - 26/01/2018 02:06:19,3384,0,7.79667E-4,31119696
/opt/more-workspace/BEBEZE/bbz1.csv,,37,25/01/2018 04:32:24 - 25/01/2018 22:09:43,3386,0,7.69334E-4,31119696
/opt/more-workspace/BEBEZE/bbz1.csv,,38,25/01/2018 23:04:27 - 26/01/2018 16:41:46,3386,0,6.65667E-4,31119696
/opt/more-workspace/BEBEZE/bbz1.csv,,39,25/01/2018 14:14:53 - 27/01/2018 01:29:31,6768,0,0.001144958,31119696
/opt/more-workspace/BEBEZE/bbz1.csv,,40,24/01/2018 20:37:34 - 27/01/2018 19:06:49,13536,0,0.002322125,31119696
/opt/more-workspace/BEBEZE/bbz1.csv,,41,23/01/2018 09:22:56 - 29/01/2018 06:21:27,27068,0,2.546717709,33340040
/opt/more-workspace/BEBEZE/bbz1.csv,,42,24/01/2018 20:37:34 - 27/01/2018 19:06:49,13536,0,0.002178,33340040
/opt/more-workspace/BEBEZE/bbz1.csv,,43,30/01/2018 06:26:14 - 02/02/2018 04:55:30,27068,0,1.379923041,35560384
/opt/more-workspace/BEBEZE/bbz1.csv,,44,28/01/2018 19:10:48 - 03/02/2018 16:09:19,27066,0,2.578980209,37780728
/opt/more-workspace/BEBEZE/bbz1.csv,,45,30/01/2018 06:25:26 - 02/02/2018 04:54:41,13536,0,0.002257042,37780728
/opt/more-workspace/BEBEZE/bbz1.csv,,46,28/01/2018 19:10:48 - 03/02/2018 16:09:19,27066,0,0.004348625,37780728
/opt/more-workspace/BEBEZE/bbz1.csv,,47,30/01/2018 06:25:26 - 02/02/2018 04:54:41,13536,0,0.002485875,37780728
/opt/more-workspace/BEBEZE/bbz1.csv,,48,31/01/2018 00:02:45 - 01/02/2018 11:17:22,13536,0,0.002182708,37780728
/opt/more-workspace/BEBEZE/bbz1.csv,,49,30/01/2018 06:25:26 - 02/02/2018 04:54:41,13536,0,0.002307042,37780728
/opt/more-workspace/BEBEZE/bbz1.csv,,0,04/01/2018 02:30:00 - 10/01/2018 02:30:00,17280,0,0.007256291,1419176
/opt/more-workspace/BEBEZE/bbz1.csv,,1,05/01/2018 14:29:17 - 08/01/2018 14:30:18,8644,0,0.0015545,1419176
/opt/more-workspace/BEBEZE/bbz1.csv,,2,04/01/2018 02:28:47 - 10/01/2018 02:30:48,17286,0,2.207259166,2837232
/opt/more-workspace/BEBEZE/bbz1.csv,,3,04/01/2018 02:28:47 - 10/01/2018 02:30:48,17286,0,0.002837875,2837232
/opt/more-workspace/BEBEZE/bbz1.csv,,4,05/01/2018 14:29:17 - 08/01/2018 14:30:18,8644,0,0.001465208,2837232
/opt/more-workspace/BEBEZE/bbz1.csv,,5,06/01/2018 08:28:27 - 07/01/2018 20:31:08,4328,0,7.4825E-4,2837232
/opt/more-workspace/BEBEZE/bbz1.csv,,6,04/01/2018 20:12:05 - 06/01/2018 08:14:46,4326,0,7.43542E-4,2837232
/opt/more-workspace/BEBEZE/bbz1.csv,,7,05/01/2018 05:14:25 - 05/01/2018 23:13:34,2160,0,4.25375E-4,2837232
/opt/more-workspace/BEBEZE/bbz1.csv,,8,07/01/2018 10:22:59 - 08/01/2018 04:22:08,2162,0,4.25375E-4,2837232
/opt/more-workspace/BEBEZE/bbz1.csv,,9,07/01/2018 14:54:43 - 07/01/2018 23:52:07,16122,0,0.184620208,4160000
/opt/more-workspace/BEBEZE/bbz1.csv,,10,07/01/2018 10:26:01 - 08/01/2018 04:20:49,2150,0,4.83458E-4,4160000
/opt/more-workspace/BEBEZE/bbz1.csv,,11,08/01/2018 01:20:22 - 08/01/2018 19:15:09,2152,0,4.17417E-4,4160000
/opt/more-workspace/BEBEZE/bbz1.csv,,12,08/01/2018 08:25:20 - 09/01/2018 02:20:08,2152,0,4.20375E-4,4160000
/opt/more-workspace/BEBEZE/bbz1.csv,,13,08/01/2018 16:27:13 - 09/01/2018 10:22:00,2152,0,4.3E-4,4160000
/opt/more-workspace/BEBEZE/bbz1.csv,,14,08/01/2018 20:56:57 - 09/01/2018 05:54:21,16122,0,0.170828042,5482768
/opt/more-workspace/BEBEZE/bbz1.csv,,15,08/01/2018 16:28:16 - 09/01/2018 10:23:03,2152,0,4.50875E-4,5482768
/opt/more-workspace/BEBEZE/bbz1.csv,,16,08/01/2018 07:30:52 - 09/01/2018 19:20:27,4302,0,7.1675E-4,5482768
/opt/more-workspace/BEBEZE/bbz1.csv,,17,07/01/2018 13:36:04 - 10/01/2018 13:15:14,17198,0,1.182739208,6893608
/opt/more-workspace/BEBEZE/bbz1.csv,,18,07/01/2018 13:36:04 - 10/01/2018 13:15:14,17198,0,0.002515875,6893608
/opt/more-workspace/BEBEZE/bbz1.csv,,19,06/01/2018 01:46:30 - 12/01/2018 01:04:49,17198,0,2.226566375,8304448
/opt/more-workspace/BEBEZE/bbz1.csv,,20,19/01/2018 23:50:41 - 25/01/2018 23:09:00,17198,0,2.266046084,9715448
/opt/more-workspace/BEBEZE/bbz1.csv,,21,19/01/2018 23:50:41 - 25/01/2018 23:09:00,17198,0,0.002535042,9715448
/opt/more-workspace/BEBEZE/bbz1.csv,,22,11/01/2018 05:38:26 - 17/01/2018 04:56:45,17198,0,2.319282917,11126288
/opt/more-workspace/BEBEZE/bbz1.csv,,23,24/01/2018 14:49:31 - 30/01/2018 14:07:51,17198,0,2.39749025,12537128
/opt/more-workspace/BEBEZE/bbz1.csv,,24,11/01/2018 11:14:57 - 17/01/2018 10:33:16,17200,0,2.298948958,13948128
/opt/more-workspace/BEBEZE/bbz1.csv,,25,26/01/2018 02:52:48 - 01/02/2018 02:11:08,17200,0,2.332188042,15359128
/opt/more-workspace/BEBEZE/bbz1.csv,,26,27/01/2018 14:42:30 - 30/01/2018 14:21:39,8600,0,0.001260083,15359128
/opt/more-workspace/BEBEZE/bbz1.csv,,27,22/01/2018 21:09:03 - 25/01/2018 20:48:13,8600,0,0.001239666,15359128
/opt/more-workspace/BEBEZE/bbz1.csv,,28,30/01/2018 22:32:32 - 02/02/2018 22:11:42,17198,0,1.219868375,16769968
/opt/more-workspace/BEBEZE/bbz1.csv,,29,31/01/2018 16:27:58 - 02/02/2018 04:17:33,8602,0,0.001256,16769968
/opt/more-workspace/BEBEZE/bbz1.csv,,30,01/02/2018 01:43:20 - 02/02/2018 13:32:54,8600,0,0.001205458,16769968
/opt/more-workspace/BEBEZE/bbz1.csv,,31,31/01/2018 07:48:03 - 03/02/2018 07:27:13,17198,0,1.217624041,18180808
/opt/more-workspace/BEBEZE/bbz1.csv,,32,01/02/2018 01:42:50 - 02/02/2018 13:32:25,8600,0,0.001254125,18180808
/opt/more-workspace/BEBEZE/bbz1.csv,,33,28/01/2018 20:45:40 - 30/01/2018 08:35:15,4302,0,6.49042E-4,18180808
/opt/more-workspace/BEBEZE/bbz1.csv,,34,28/01/2018 05:03:39 - 29/01/2018 16:53:14,4302,0,6.60417E-4,18180808
/opt/more-workspace/BEBEZE/bbz1.csv,,35,28/01/2018 14:00:36 - 29/01/2018 07:55:23,2152,0,3.5725E-4,18180808
/opt/more-workspace/BEBEZE/bbz1.csv,,36,28/01/2018 13:35:26 - 29/01/2018 07:30:14,2152,0,3.66583E-4,18180808
/opt/more-workspace/BEBEZE/bbz1.csv,,37,28/01/2018 09:34:55 - 29/01/2018 03:29:43,2152,0,3.79583E-4,18180808
/opt/more-workspace/BEBEZE/bbz1.csv,,38,29/01/2018 04:25:21 - 29/01/2018 22:20:09,2152,0,3.54583E-4,18180808
/opt/more-workspace/BEBEZE/bbz1.csv,,39,28/01/2018 19:28:17 - 30/01/2018 07:17:52,4300,0,6.5125E-4,18180808
/opt/more-workspace/BEBEZE/bbz1.csv,,40,28/01/2018 01:33:29 - 31/01/2018 01:12:39,8600,0,0.001223208,18180808
/opt/more-workspace/BEBEZE/bbz1.csv,,41,26/01/2018 13:43:54 - 01/02/2018 13:02:14,17200,0,2.36375475,19591808
/opt/more-workspace/BEBEZE/bbz1.csv,,42,28/01/2018 01:33:29 - 31/01/2018 01:12:39,8600,0,0.001307209,19591808
/opt/more-workspace/BEBEZE/bbz1.csv,,43,02/02/2018 13:30:54 - 05/02/2018 13:10:04,17200,0,1.232861125,21002808
/opt/more-workspace/BEBEZE/bbz1.csv,,44,01/02/2018 01:40:39 - 07/02/2018 00:58:59,17198,0,2.355520958,22413648
/opt/more-workspace/BEBEZE/bbz1.csv,,45,02/02/2018 13:30:14 - 05/02/2018 13:09:24,8600,0,0.001328334,22413648
/opt/more-workspace/BEBEZE/bbz1.csv,,46,01/02/2018 01:40:39 - 07/02/2018 00:58:59,17198,0,0.002497042,22413648
/opt/more-workspace/BEBEZE/bbz1.csv,,47,02/02/2018 13:30:14 - 05/02/2018 13:09:24,8600,0,0.001291083,22413648
/opt/more-workspace/BEBEZE/bbz1.csv,,48,03/02/2018 07:25:02 - 04/02/2018 19:14:36,8600,0,0.001243959,22413648
/opt/more-workspace/BEBEZE/bbz1.csv,,49,02/02/2018 13:30:14 - 05/02/2018 13:09:24,8600,0,0.001286375,22413648
/opt/more-workspace/BEBEZE/bbz1.csv,,0,04/01/2018 02:30:00 - 10/01/2018 02:30:00,17280,0,0.006440625,1419176
/opt/more-workspace/BEBEZE/bbz1.csv,,1,05/01/2018 14:29:17 - 08/01/2018 14:30:18,8644,0,0.001453667,1419176
/opt/more-workspace/BEBEZE/bbz1.csv,,2,04/01/2018 02:28:47 - 10/01/2018 02:30:48,17286,0,2.20810075,2837232
/opt/more-workspace/BEBEZE/bbz1.csv,,3,04/01/2018 02:28:47 - 10/01/2018 02:30:48,17286,0,0.004078667,2837232
/opt/more-workspace/BEBEZE/bbz1.csv,,4,05/01/2018 14:29:17 - 08/01/2018 14:30:18,8644,0,0.001471083,2837232
/opt/more-workspace/BEBEZE/bbz1.csv,,5,06/01/2018 08:28:27 - 07/01/2018 20:31:08,4328,0,7.46583E-4,2837232
/opt/more-workspace/BEBEZE/bbz1.csv,,6,04/01/2018 20:12:05 - 06/01/2018 08:14:46,4326,0,7.57792E-4,2837232
/opt/more-workspace/BEBEZE/bbz1.csv,,7,05/01/2018 05:14:25 - 05/01/2018 23:13:34,2160,0,4.30834E-4,2837232
/opt/more-workspace/BEBEZE/bbz1.csv,,8,07/01/2018 10:22:59 - 08/01/2018 04:22:08,2162,0,4.17E-4,2837232
/opt/more-workspace/BEBEZE/bbz1.csv,,9,07/01/2018 14:54:43 - 07/01/2018 23:52:07,16122,0,0.181507292,4160000
/opt/more-workspace/BEBEZE/bbz1.csv,,10,07/01/2018 10:26:01 - 08/01/2018 04:20:49,2150,0,5.2225E-4,4160000
/opt/more-workspace/BEBEZE/bbz1.csv,,11,08/01/2018 01:20:22 - 08/01/2018 19:15:09,2152,0,4.53375E-4,4160000
/opt/more-workspace/BEBEZE/bbz1.csv,,12,08/01/2018 08:25:20 - 09/01/2018 02:20:08,2152,0,4.35417E-4,4160000
/opt/more-workspace/BEBEZE/bbz1.csv,,13,08/01/2018 16:27:13 - 09/01/2018 10:22:00,2152,0,4.4075E-4,4160000
/opt/more-workspace/BEBEZE/bbz1.csv,,14,08/01/2018 20:56:57 - 09/01/2018 05:54:21,16122,0,0.171391083,5482768
/opt/more-workspace/BEBEZE/bbz1.csv,,15,08/01/2018 16:28:16 - 09/01/2018 10:23:03,2152,0,4.53208E-4,5482768
/opt/more-workspace/BEBEZE/bbz1.csv,,16,08/01/2018 07:30:52 - 09/01/2018 19:20:27,4302,0,6.65958E-4,5482768
/opt/more-workspace/BEBEZE/bbz1.csv,,17,07/01/2018 13:36:04 - 10/01/2018 13:15:14,17198,0,1.112905958,6893608
/opt/more-workspace/BEBEZE/bbz1.csv,,18,07/01/2018 13:36:04 - 10/01/2018 13:15:14,17198,0,0.002501208,6893608
/opt/more-workspace/BEBEZE/bbz1.csv,,19,06/01/2018 01:46:30 - 12/01/2018 01:04:49,17198,0,2.248696958,8304448
/opt/more-workspace/BEBEZE/bbz1.csv,,20,19/01/2018 23:50:41 - 25/01/2018 23:09:00,17198,0,2.297831834,9715448
