dataset,mode,query #,timeRange,results size,TTI Time (sec),PostgreSQL Time (sec),InfluxDB Time (sec),Memory (Gb)
bebeze,timeQueries,0,2018-01-12 00:30:00 - 2018-01-21 01:30:00,3120,0.031208708,0.0,0.0,34908
bebeze,timeQueries,3,2018-01-14 06:44:58 - 2018-01-18 19:14:53,3202,1.600454917,0.0,0.0,87180
bebeze,timeQueries,6,2018-01-12 00:30:01 - 2018-01-21 01:29:50,3200,0.007020292,0.0,0.0,87180
bebeze,timeQueries,9,2018-01-08 22:43:23 - 2018-01-17 23:43:12,4288,1.088975791,0.0,0.0,99176
bebeze,timeQueries,12,2018-01-11 04:59:06 - 2018-01-15 17:29:01,5374,1.068567375,0.0,0.0,134768
bebeze,timeQueries,15,2018-01-12 08:06:35 - 2018-01-14 14:21:32,3202,0.778532542,0.0,0.0,174020
bebeze,timeQueries,18,2018-01-10 12:23:32 - 2018-01-12 18:38:30,5778,0.640262583,0.0,0.0,205684
bebeze,timeQueries,21,2018-01-11 01:57:47 - 2018-01-12 05:03:05,3200,0.412702916,0.0,0.0,238384
bebeze,timeQueries,24,2018-01-11 03:31:02 - 2018-01-12 06:36:19,3384,0.036363125,0.0,0.0,240436
bebeze,timeQueries,27,2018-01-11 10:18:03 - 2018-01-11 23:50:41,3198,0.208654959,0.0,0.0,273132
bebeze,timeQueries,30,2018-01-11 03:31:43 - 2018-01-12 06:37:01,3384,0.01579025,0.0,0.0,273336
bebeze,timeQueries,33,2018-01-11 07:53:29 - 2018-01-12 10:58:46,3900,0.077252917,0.0,0.0,278756
bebeze,timeQueries,36,2018-01-11 20:26:06 - 2018-01-12 23:31:23,5378,0.196426708,0.0,0.0,293996
bebeze,timeQueries,39,2018-01-12 00:43:24 - 2018-01-13 03:48:41,5884,0.077849958,0.0,0.0,299332
bebeze,timeQueries,42,2018-01-12 07:29:27 - 2018-01-12 21:02:05,3200,0.206282541,0.0,0.0,332028
bebeze,timeQueries,45,2018-01-12 00:43:07 - 2018-01-13 03:48:25,7482,0.017594,0.0,0.0,332028
bebeze,timeQueries,48,2018-01-11 11:10:28 - 2018-01-13 17:21:04,5786,0.014094291,0.0,0.0,332028
bebeze,timeQueries,51,2018-01-10 08:05:11 - 2018-01-14 20:26:21,8402,0.087975709,0.0,0.0,334284
bebeze,timeQueries,54,2018-01-10 03:51:54 - 2018-01-14 16:13:04,8530,0.088184208,0.0,0.0,336500
bebeze,timeQueries,57,2018-01-07 21:41:11 - 2018-01-16 22:23:32,4662,0.387845333,0.0,0.0,340692
bebeze,timeQueries,60,2018-01-15 18:14:55 - 2018-01-24 18:57:15,4526,1.297541875,0.0,0.0,355196
bebeze,timeQueries,63,2018-01-12 17:11:11 - 2018-01-21 17:53:31,4526,0.009085583,0.0,0.0,355196
bebeze,timeQueries,66,2018-01-04 07:49:30 - 2018-01-13 08:31:50,3816,1.261493666,0.0,0.0,369120
bebeze,timeQueries,69,2018-01-11 23:08:17 - 2018-01-20 23:50:37,4294,0.012188375,0.0,0.0,369120
bebeze,timeQueries,72,2018-01-10 04:08:48 - 2018-01-19 04:51:09,5382,0.013705375,0.0,0.0,369120
bebeze,timeQueries,75,2018-01-15 23:46:55 - 2018-01-25 00:29:16,4606,0.100398208,0.0,0.0,370192
bebeze,timeQueries,78,2018-01-18 05:57:31 - 2018-01-22 18:18:42,6014,1.368366,0.0,0.0,416012
bebeze,timeQueries,81,2018-01-13 20:07:34 - 2018-01-18 08:28:45,4806,0.01418925,0.0,0.0,416012
bebeze,timeQueries,84,2018-01-17 21:58:26 - 2018-01-22 10:19:36,6012,0.015810667,0.0,0.0,416012
bebeze,timeQueries,87,2018-01-19 01:04:24 - 2018-01-21 07:14:59,3202,0.77926175,0.0,0.0,455208
bebeze,timeQueries,90,2018-01-20 15:31:57 - 2018-01-22 21:42:32,5472,0.551995459,0.0,0.0,483088
bebeze,timeQueries,93,2018-01-19 12:25:59 - 2018-01-24 00:47:09,4742,0.396668458,0.0,0.0,496276
bebeze,timeQueries,96,2018-01-20 15:31:16 - 2018-01-22 21:41:51,5470,0.011633083,0.0,0.0,496276
bebeze,timeQueries,99,2018-01-19 07:52:03 - 2018-01-21 14:02:38,5472,0.011578375,0.0,0.0,496276
bebeze,timeQueries,102,2018-01-17 12:25:50 - 2018-01-19 18:36:26,5366,0.538275166,0.0,0.0,522848
bebeze,timeQueries,105,2018-01-18 01:59:24 - 2018-01-19 05:04:42,3200,0.392758125,0.0,0.0,555544
bebeze,timeQueries,108,2018-01-17 17:28:33 - 2018-01-18 20:33:51,4202,0.132625291,0.0,0.0,565952
bebeze,timeQueries,111,2018-01-17 06:46:36 - 2018-01-18 09:51:53,5466,0.16479775,0.0,0.0,578976
bebeze,timeQueries,114,2018-01-17 18:12:05 - 2018-01-18 21:17:23,4202,0.007885083,0.0,0.0,578976
bebeze,timeQueries,117,2018-01-17 04:39:16 - 2018-01-19 10:49:51,7722,0.049605959,0.0,0.0,580696
bebeze,timeQueries,120,2018-01-16 01:33:59 - 2018-01-20 13:55:09,6014,0.015666416,0.0,0.0,580696
bebeze,timeQueries,123,2018-01-13 19:23:24 - 2018-01-22 20:05:44,5930,0.016065166,0.0,0.0,580696
bebeze,timeQueries,126,2018-01-16 01:33:59 - 2018-01-20 13:55:09,6014,0.015699041,0.0,0.0,580696
bebeze,timeQueries,129,2018-01-18 10:59:37 - 2018-01-22 23:20:47,5542,0.017926916,0.0,0.0,580696
bebeze,timeQueries,132,2018-01-16 04:48:24 - 2018-01-25 05:30:45,6086,0.110661542,0.0,0.0,581688
bebeze,timeQueries,135,2018-01-18 10:58:59 - 2018-01-22 23:20:09,5542,0.018928208,0.0,0.0,581688
bebeze,timeQueries,138,2018-01-16 04:48:24 - 2018-01-25 05:30:45,6086,0.01677825,0.0,0.0,581688
bebeze,timeQueries,141,2018-01-18 10:58:59 - 2018-01-22 23:20:09,5542,0.018492125,0.0,0.0,581688
