dataset,query #,operation,width,height,from,to,timeRange,Results size,IO Count,Time (sec),Memory
soccer_exp,0,,1000,600,188666547505,190464847500,1975-12-24 15:22:27 - 1976-01-14 10:54:07,3596599,3596599,38.702968666,57545680
soccer_exp,1,ZI,1000,600,189045227520,190086168576,1975-12-29 00:33:47 - 1976-01-10 01:42:48,2081882,0,0.134180083,57545680
soccer_exp,2,ZI,1000,600,189256482816,189874913280,1975-12-31 11:14:42 - 1976-01-07 15:01:53,1236861,0,0.553748083,57545680
soccer_exp,3,P,1000,600,189065133792,189683564256,1975-12-29 06:05:33 - 1976-01-05 09:52:44,1236861,0,0.183450167,57545680
soccer_exp,4,ZO,1000,600,188979462144,189769236480,1975-12-28 06:17:42 - 1976-01-06 09:40:36,1579548,0,0.52364725,57545680
soccer_exp,5,ZO,1000,600,188716646400,190032052224,1975-12-25 05:17:26 - 1976-01-09 10:40:52,2630812,0,0.203115791,57545680
soccer_exp,6,P,1000,600,187528218158,188843623982,1975-12-11 11:10:18 - 1975-12-26 16:33:43,2630811,2276659,25.385536375,93972320
soccer_exp,7,P,1000,600,187042288660,188357694484,1975-12-05 20:11:28 - 1975-12-21 01:34:54,2630811,971859,11.983815542,109522160
soccer_exp,8,P,1000,600,186678615359,187994021183,1975-12-01 15:10:15 - 1975-12-16 20:33:41,2630812,727347,10.596091917,121159808
soccer_exp,9,P,1000,600,186068017232,187383423056,1975-11-24 13:33:37 - 1975-12-09 18:57:03,2630812,1221196,14.263595333,140699040
soccer_exp,10,ZO,1000,600,185553108992,187898347520,1975-11-18 14:31:48 - 1975-12-15 17:59:07,4690478,1029817,12.282556083,157176208
soccer_exp,11,ZO,1000,600,184475090944,188976365568,1975-11-06 03:04:50 - 1975-12-28 05:26:05,9002550,2156036,23.711391542,191672880
soccer_exp,12,ZI,1000,600,185158975488,188292481024,1975-11-14 01:02:55 - 1975-12-20 07:28:01,6267012,0,0.551805042,191672880
soccer_exp,13,ZO,1000,600,183984062464,189467394048,1975-10-31 10:41:02 - 1976-01-02 21:49:54,10966664,982057,13.893967417,207385888
soccer_exp,14,ZO,1000,600,182924230656,190464847500,1975-10-19 04:17:10 - 1976-01-14 10:54:07,15081233,2119663,30.814581208,241300592
soccer_exp,15,ZO,1000,600,182255452160,190464847500,1975-10-11 10:30:52 - 1976-01-14 10:54:07,16418790,1337557,17.85287025,262701600
soccer_exp,16,ZI,1000,600,183785619456,188934684672,1975-10-29 03:33:39 - 1975-12-27 17:51:24,10298131,0,0.999026208,262701600
soccer_exp,17,ZI,1000,600,184232034304,188488269824,1975-11-03 07:33:54 - 1975-12-22 13:51:09,8512471,0,0.676564333,262701600
soccer_exp,18,ZO,1000,600,182474276864,190246027264,1975-10-13 23:17:56 - 1976-01-11 22:07:07,15543501,0,1.451416541,262701600
soccer_exp,19,P,1000,600,181129408723,188901159123,1975-09-28 09:43:28 - 1975-12-27 08:32:39,15543501,2252087,31.875567209,298735088
soccer_exp,20,P,1000,600,176560863323,184332613723,1975-08-06 12:41:03 - 1975-11-04 11:30:13,15543501,9137091,104.822646333,444928640
